Date,Close/Last,Open,High,Low
10/17/2025,2348.54,2349.46,2361.24,2326.24
10/16/2025,2400.74,2400.74,2401.26,2379.06
10/15/2025,2381.03,2381.03,2384.14,2370.68
10/14/2025,2357.95,2357.95,2373.05,2349.01
10/13/2025,2374.64,2374.64,2377.76,2360.58
10/10/2025,2379.05,2401.21,2404.35,2378.97
10/09/2025,2391.24,2391.24,2410.93,2388.50
10/08/2025,2409.25,2409.25,2412.70,2395.46
10/07/2025,2387.90,2387.90,2406.06,2387.90
10/06/2025,2407.57,2407.57,2414.72,2385.58
10/03/2025,2393.18,2377.62,2395.64,2368.03
10/02/2025,2365.59,2365.59,2386.89,2362.50
10/01/2025,2349.59,2349.59,2351.33,2309.33
09/30/2025,2302.50,2302.50,2304.17,2286.40
09/29/2025,2306.87,2306.87,2309.86,2291.09
09/26/2025,2300.22,2305.54,2311.92,2291.71
09/25/2025,2298.69,2298.69,2328.31,2298.69
09/24/2025,2328.15,2328.15,2345.19,2325.38
09/23/2025,2345.73,2345.73,2360.77,2338.11
09/22/2025,2335.14,2335.14,2346.35,2323.00
09/19/2025,2341.43,2353.34,2361.36,2341.43
09/18/2025,2347.83,2347.83,2358.83,2329.08
09/17/2025,2317.20,2317.20,2330.06,2314.15
09/16/2025,2306.68,2306.68,2329.24,2305.64
09/15/2025,2319.12,2319.12,2335.07,2311.27
09/12/2025,2305.32,2312.83,2315.87,2300.16
09/11/2025,2303.04,2303.04,2309.12,2287.60
09/10/2025,2308.57,2308.57,2311.82,2286.03
09/09/2025,2285.92,2285.92,2306.61,2280.16
09/08/2025,2298.19,2298.19,2306.50,2286.73
09/05/2025,2298.46,2311.03,2316.48,2292.46
09/04/2025,2293.02,2293.02,2297.65,2283.81
09/03/2025,2290.82,2290.82,2293.29,2268.76
09/02/2025,2273.38,2273.38,2320.34,2273.17
08/29/2025,2315.40,2305.33,2322.18,2305.33
08/28/2025,2305.01,2305.01,2319.70,2302.38
08/27/2025,2299.66,2299.66,2310.99,2293.64
08/26/2025,2297.56,2297.56,2309.10,2297.14
08/25/2025,2323.21,2323.21,2336.01,2319.13
08/22/2025,2335.30,2323.29,2339.75,2295.91
08/21/2025,2298.22,2298.22,2299.57,2286.48
08/20/2025,2293.72,2293.72,2302.51,2287.11
08/19/2025,2297.53,2297.53,2302.05,2275.33
08/18/2025,2276.16,2276.16,2281.61,2265.54
08/15/2025,2251.31,2255.00,2267.86,2249.62
08/14/2025,2251.09,2251.09,2257.73,2243.84
08/13/2025,2243.88,2243.88,2246.78,2232.25
08/12/2025,2235.71,2235.71,2236.40,2215.38
08/11/2025,2220.23,2220.23,2255.96,2219.40
08/08/2025,2237.68,2238.58,2245.62,2231.60
08/07/2025,2219.01,2219.01,2241.55,2171.13
08/06/2025,2170.00,2170.00,2207.72,2167.03
08/05/2025,2190.18,2190.18,2204.52,2189.01
08/04/2025,2192.26,2192.26,2196.56,2180.71
08/01/2025,2173.10,2179.30,2187.09,2162.74
07/31/2025,2213.25,2213.25,2255.48,2212.91
07/30/2025,2246.61,2246.61,2277.38,2244.90
07/29/2025,2275.99,2275.99,2401.77,2246.93
07/28/2025,2389.87,2389.87,2435.91,2384.33
07/25/2025,2398.31,2389.05,2402.69,2377.31
07/24/2025,2387.16,2387.16,2408.23,2386.48
07/23/2025,2378.71,2378.71,2380.17,2347.58
07/22/2025,2323.45,2323.45,2326.56,2299.94
07/21/2025,2313.70,2313.70,2323.95,2308.86
07/18/2025,2311.52,2320.85,2343.65,2307.21
07/17/2025,2318.00,2318.00,2330.96,2309.76
07/16/2025,2308.37,2308.37,2323.97,2304.02
07/15/2025,2321.86,2321.86,2351.87,2321.15
07/14/2025,2342.71,2342.71,2342.98,2330.75
07/11/2025,2351.97,2365.36,2391.26,2350.58
07/10/2025,2397.02,2397.02,2397.53,2364.19
07/09/2025,2356.35,2356.35,2364.27,2342.85
07/08/2025,2351.63,2351.63,2351.63,2325.67
07/07/2025,2339.23,2339.23,2344.16,2327.21
07/03/2025,2338.34,2322.54,2342.05,2309.69
07/02/2025,2332.18,2332.18,2343.04,2322.71
07/01/2025,2314.08,2314.08,2327.22,2290.54
06/30/2025,2318.45,2318.45,2351.63,2314.77
06/27/2025,2336.36,2330.14,2339.83,2310.42
06/26/2025,2296.44,2296.44,2317.41,2289.80
06/25/2025,2306.31,2306.31,2344.83,2304.59
06/24/2025,2333.99,2333.99,2357.63,2330.14
06/23/2025,2304.39,2304.39,2336.20,2288.61
06/20/2025,2347.19,2355.57,2376.83,2345.72
06/18/2025,2372.87,2359.86,2383.18,2359.75
06/17/2025,2396.69,2396.69,2422.02,2389.96
06/16/2025,2432.73,2432.73,2448.18,2426.03
06/13/2025,2434.30,2449.26,2459.42,2428.69
06/12/2025,2459.64,2459.64,2465.95,2437.71
06/11/2025,2464.54,2464.54,2478.51,2456.85
06/10/2025,2476.94,2476.94,2476.94,2442.55
06/09/2025,2436.11,2436.11,2442.51,2432.17
06/06/2025,2435.58,2431.42,2438.83,2421.73
06/05/2025,2418.81,2418.81,2422.83,2408.71
06/04/2025,2413.70,2413.70,2417.52,2395.41
06/03/2025,2382.21,2382.21,2403.91,2368.25
06/02/2025,2396.72,2396.72,2403.74,2378.82
05/30/2025,2378.77,2384.79,2393.14,2376.42
05/29/2025,2393.31,2393.31,2394.09,2389.26
05/28/2025,2389.66,2389.66,2412.42,2389.30
05/27/2025,2409.66,2409.66,2425.50,2396.09
05/23/2025,2407.53,2401.61,2411.70,2396.09
05/22/2025,2385.09,2385.09,2406.67,2368.74
05/21/2025,2429.06,2429.06,2430.91,2398.91
05/20/2025,2431.80,2431.80,2443.61,2404.99
05/19/2025,2394.84,2394.84,2396.27,2362.99
05/16/2025,2377.71,2371.42,2416.89,2365.96
05/15/2025,2383.45,2383.45,2388.81,2349.52
05/14/2025,2365.94,2365.94,2393.61,2362.69
05/13/2025,2378.22,2386.55,2399.18,2373.70
05/12/2025,2375.21,2375.21,2378.55,2300.66
05/09/2025,2322.00,2323.88,2334.38,2311.84
05/08/2025,2298.23,2298.23,2327.47,2290.05
05/07/2025,2309.99,2309.99,2343.70,2302.25
05/06/2025,2311.19,2311.19,2343.85,2303.80
05/05/2025,2346.80,2346.80,2356.07,2335.48
05/02/2025,2342.92,2340.92,2346.51,2313.75
05/01/2025,2293.80,2293.80,2318.61,2289.26
04/30/2025,2285.80,2285.80,2294.13,2243.69
04/29/2025,2247.18,2247.18,2256.64,2224.23
04/28/2025,2239.89,2239.89,2248.60,2219.95
04/25/2025,2219.05,2213.79,2232.92,2206.84
04/24/2025,2218.13,2218.13,2220.68,2187.23
04/23/2025,2222.79,2222.79,2242.00,2200.54
04/22/2025,2172.30,2172.30,2202.25,2141.86
04/21/2025,2197.00,2197.00,2201.85,2196.06
04/17/2025,2200.41,2200.00,2201.64,2197.23
04/16/2025,2192.36,2192.36,2197.18,2170.87
04/15/2025,2210.38,2210.38,2223.28,2194.64
04/14/2025,2191.59,2191.59,2198.25,2162.60
04/11/2025,2111.40,2104.01,2131.30,2078.82
04/10/2025,2119.65,2119.65,2263.84,2048.85
04/09/2025,2028.68,2028.68,2084.49,2005.60
04/08/2025,2136.93,2136.93,2160.70,2092.92
04/07/2025,2091.88,2091.88,2183.73,1983.00
04/04/2025,2153.85,2195.23,2268.50,2131.51
04/03/2025,2296.51,2296.51,2341.43,2289.36
04/02/2025,2374.99,2374.99,2386.20,2348.60
04/01/2025,2401.93,2401.93,2412.28,2385.38
03/31/2025,2372.48,2372.48,2399.11,2360.92
03/28/2025,2417.98,2429.21,2445.87,2409.33
03/27/2025,2442.44,2442.44,2464.02,2433.73
03/26/2025,2483.21,2483.21,2519.95,2480.70
03/25/2025,2517.60,2517.60,2540.08,2509.35
03/24/2025,2511.35,2511.35,2533.50,2495.83
03/21/2025,2519.91,2515.93,2559.74,2511.07
03/20/2025,2568.60,2568.60,2578.58,2543.70
03/19/2025,2574.38,2574.38,2583.97,2563.44
03/18/2025,2584.69,2584.69,2616.11,2575.64
03/17/2025,2571.71,2571.71,2582.94,2553.87
03/14/2025,2547.97,2529.15,2549.02,2512.41
03/13/2025,2512.03,2512.03,2538.76,2500.36
03/12/2025,2509.16,2509.16,2551.94,2492.72
03/11/2025,2530.17,2530.17,2595.98,2527.16
03/10/2025,2587.46,2587.46,2679.55,2575.59
03/07/2025,2665.04,2662.09,2682.16,2640.80
03/06/2025,2678.75,2678.75,2708.47,2651.76
03/05/2025,2691.40,2691.40,2712.25,2654.29
03/04/2025,2628.55,2628.55,2695.70,2628.55
03/03/2025,2715.54,2715.54,2727.99,2687.53
02/28/2025,2695.84,2692.81,2700.05,2669.59
02/27/2025,2700.54,2700.54,2710.72,2688.28
02/26/2025,2721.12,2721.12,2734.24,2712.63
02/25/2025,2715.56,2715.56,2734.43,2684.42
02/24/2025,2681.42,2681.42,2699.43,2666.97
02/21/2025,2681.89,2687.30,2692.37,2643.31
02/20/2025,2637.07,2637.07,2645.06,2628.64
02/19/2025,2630.08,2630.08,2654.08,2618.41
02/18/2025,2644.78,2644.78,2646.76,2607.49
02/14/2025,2609.03,2587.04,2613.11,2586.60
02/13/2025,2591.09,2591.09,2599.74,2579.73
02/12/2025,2582.24,2582.24,2602.03,2571.99
02/11/2025,2601.29,2601.29,2604.24,2590.34
02/10/2025,2608.05,2608.05,2615.15,2602.33
02/07/2025,2609.19,2627.95,2645.41,2606.77
02/06/2025,2626.04,2626.04,2627.94,2586.33
02/05/2025,2578.17,2578.17,2581.63,2538.57
02/04/2025,2543.15,2543.15,2543.36,2514.93
02/03/2025,2541.08,2541.08,2544.16,2503.09
01/31/2025,2572.30,2576.77,2591.87,2571.31
01/30/2025,2573.09,2573.09,2576.08,2561.78
01/29/2025,2564.13,2564.13,2583.31,2562.48
01/28/2025,2553.43,2553.43,2585.06,2553.32
01/27/2025,2577.57,2577.57,2578.93,2542.26
01/24/2025,2586.84,2613.81,2642.33,2545.56
01/23/2025,2547.22,2547.22,2547.22,2518.82
01/22/2025,2528.95,2528.95,2550.79,2521.85
01/21/2025,2516.61,2516.61,2517.19,2479.04
01/17/2025,2474.60,2493.74,2507.57,2473.55
01/16/2025,2513.76,2513.76,2524.61,2502.06
01/15/2025,2516.36,2516.36,2518.33,2453.68
01/14/2025,2468.22,2468.22,2508.89,2462.68
01/13/2025,2489.79,2489.79,2507.97,2482.54
01/10/2025,2523.26,2540.11,2548.04,2520.38
01/08/2025,2536.42,2512.15,2538.00,2511.32
01/07/2025,2508.95,2508.95,2520.13,2499.15
01/06/2025,2507.82,2507.82,2528.27,2503.77
01/03/2025,2534.30,2531.04,2535.80,2514.90
01/02/2025,2534.36,2534.36,2536.53,2500.94
